url,name,description
https://www.grants.gov.au/Go/List,Australian Government Grants,Main portal for federal grants
https://www.communitygrants.gov.au/,Community Grants Hub,Managed by Dept. of Social Services
https://business.gov.au/grants-and-support,Business.gov.au,Federal and some state business support
https://www.tenders.gov.au/Atm/List/Current,Australian Government Tenders,Main portal for federal tenders
https://www.csiro.au/en/work-with-us/funding-programs,CSIRO,Various programs for SMEs and researchers
https://www.arc.gov.au/funding,ARC (Australian Research Council),Research grants via GrantConnect
https://www.nhmrc.gov.au/funding/find-funding,NHMRC,Medical research funding
https://www.health.gov.au/mrff,MRFF (Medical Research Future Fund),Medical research opportunities
https://business.gov.au/grants-and-programs/cooperative-research-centres-crc-program,CRC Program,Industry-research collaboration
https://www.defence.gov.au/business-industry/doing-business-defence,Department of Defence,Defence procurement and innovation
https://www.innovationhub.defence.gov.au/,Defence Innovation Hub,Defence innovation funding
https://www.dst.defence.gov.au/partner-with-us/opportunities,DSTG,Defence research opportunities
https://www.industry.gov.au/funding-and-incentives,Dept Industry Science Resources,Broader industry support
https://www.infrastructure.gov.au/department/grants,Dept Infrastructure,Infrastructure grants
https://www.dcceew.gov.au/funding,DCCEEW,Environment and climate funding
https://www.agriculture.gov.au/biosecurity-trade/market-access-trade/export-relief/grants,Dept Agriculture,Rural and agricultural programs
https://www.austrade.gov.au/australian/export/export-grants,Austrade,Export Market Development Grants
https://www.screenaustralia.gov.au/funding-and-support,Screen Australia,Film TV and interactive projects
https://creative.gov.au/investment-and-development/,Creative Australia,Arts funding
https://www.sportaus.gov.au/grants_and_funding,Sport Australia,Sports funding
https://www.exportfinance.gov.au/solutions/,Export Finance Australia,Loans guarantees bonds
https://ardc.edu.au/get-funding/,ARDC,Research infrastructure and data
https://www.nsw.gov.au/grants-and-funding,NSW Government,Central grants portal NSW
https://www.tenders.nsw.gov.au/,NSW Tenders,Central tenders portal NSW
https://www.create.nsw.gov.au/funding-and-support/,Create NSW,Arts and cultural funding NSW
https://www.dpi.nsw.gov.au/about-us/funding-grants,NSW DPI,Agriculture fisheries forestry NSW
https://www.sport.nsw.gov.au/grants,NSW Office of Sport,Sports grants NSW
https://www.environment.nsw.gov.au/funding-and-support,NSW Environment,Environmental grants NSW
https://www.medicalresearch.nsw.gov.au/funding-opportunities/,NSW Health,Medical research NSW
https://www.chiefscientist.nsw.gov.au/funding,NSW Chief Scientist,Research and innovation NSW
https://www.vic.gov.au/grants,Victorian Government,Central grants portal VIC
https://creative.vic.gov.au/funding-opportunities,Creative Victoria,Arts and cultural funding VIC
https://www.tenders.vic.gov.au/,Victorian Tenders,Central tenders portal VIC
https://agriculture.vic.gov.au/support-and-resources/funds-grants-and-programs,Agriculture Victoria,Agricultural programs VIC
https://www.sustainability.vic.gov.au/grants-funding-and-investment,Sustainability Victoria,Environmental grants VIC
https://launchvic.org/,LaunchVic,Startup ecosystem support VIC
https://www.studymelbourne.vic.gov.au/scholarships,Study Melbourne,International student scholarships VIC
https://breakthroughvictoria.com/,Breakthrough Victoria,Innovation investment VIC
https://www.qld.gov.au/grants,Queensland Government,Central grants portal QLD
https://www.grants.services.qld.gov.au/,Queensland Grants Finder,Grants search tool QLD
https://www.business.qld.gov.au/starting-business/support-tools-grants/grants/grants-support-programs,Business Queensland,Business grants QLD
https://advance.qld.gov.au/,Advance Queensland,Innovation funding QLD
https://qtenders.epw.qld.gov.au/qtenders/,Queensland Tenders,Central tenders portal QLD
https://www.arts.qld.gov.au/aq-funding,Arts Queensland,Arts and cultural funding QLD
https://www.daf.qld.gov.au/business-priorities/services/financial-help-and-grants,QLD DAF,Agricultural grants QLD
https://www.dtis.qld.gov.au/tourism/funds,QLD Tourism,Tourism funding QLD
https://www.dtis.qld.gov.au/sport/funding-programs,QLD Sport,Sports funding QLD
https://www.wa.gov.au/organisation/department-of-finance/government-grants-and-funding,WA Government,Central grants guidance WA
https://www.dlgsc.wa.gov.au/funding,WA DLGSC,Arts sport community WA
https://www.tenders.wa.gov.au/,WA Tenders,Central tenders portal WA
https://www.agric.wa.gov.au/grants-and-funding,WA DPIRD,Agricultural grants WA
https://www.healthway.wa.gov.au/funding/,Healthway WA,Health promotion WA
https://www.lotterywest.wa.gov.au/grants,Lotterywest,Community grants WA
https://www.jtsi.wa.gov.au/what-we-do/funding-and-incentives,WA JTSI,Jobs tourism science innovation WA
https://www.sa.gov.au/topics/grants-and-community-support,SA Government,Central grants portal SA
https://business.sa.gov.au/programs-and-funding,Business SA,Business grants SA
https://www.tenders.sa.gov.au/,SA Tenders,Central tenders portal SA
https://www.dpc.sa.gov.au/responsibilities/arts-and-culture/grants,Arts South Australia,Arts grants SA
https://www.skills.sa.gov.au/courses-careers/financial-help/subsidised-courses-incentives,SA Innovation Skills,Skills and training SA
https://www.greenindustries.sa.gov.au/funding,Green Industries SA,Waste and circular economy SA
https://sahmri.org.au/research/,SAHMRI,Medical research institute SA
https://www.tas.gov.au/grants,Tasmanian Government,Central grants portal TAS
https://www.tenders.tas.gov.au/,Tasmania Tenders,Central tenders portal TAS
https://www.arts.tas.gov.au/funding,Arts Tasmania,Arts funding TAS
